	ox_code	cross	role	n_reads	median_cov	mean_cov	sex	colony_id
0	AD0142-C	18-5	parent	60486753	26	25.8244473299	F	Ghana
1	AD0143-C	18-5	parent	58509103	19	18.8001184137	M	Kisumu/G3
2	AD0146-C	18-5	progeny	101612499	44	43.4945936453		
3	AD0147-C	18-5	progeny	50710020	16	16.2844871048		
4	AD0148-C	18-5	progeny	59023991	19	18.9780212892		
5	AD0149-C	18-5	progeny	59389945	19	19.0640558907		
6	AD0150-C	18-5	progeny	53150541	17	17.084471677		
7	AD0151-C	18-5	progeny	57019639	18	18.3336319275		
8	AD0152-C	18-5	progeny	51874958	17	16.6731516915		
9	AD0153-C	18-5	progeny	70889222	23	22.7970938547		
10	AD0154-C	18-5	progeny	63367004	21	20.3691144789		
11	AD0155-C	18-5	progeny	57473204	18	18.4640297056		
12	AD0156-C	18-5	progeny	62736889	20	20.1458768459		
13	AD0157-C	18-5	progeny	53788313	18	17.2699795832		
14	AD0158-C	18-5	progeny	64946700	28	27.5251945925		
15	AD0159-C	18-5	progeny	56424892	18	18.1431519918		
16	AD0160-C	18-5	progeny	70951494	31	30.3492378336		
17	AD0161-C	18-5	progeny	64501466	28	27.5721973439		
18	AD0162-C	18-5	progeny	45964911	15	14.7563915938		
19	AD0163-C	18-5	progeny	55711547	24	23.8287267472		
20	AD0164-C	18-5	progeny	95457430	31	30.6530389296		
21	AD0165-C	18-5	progeny	64510070	21	20.7397912662		
22	AD0231-C	29-2	parent	45176208	20	19.3052227594	F	Ghana
23	AD0232-C	29-2	parent	57232564	25	24.2984196235	M	Kisumu
24	AD0234-C	29-2	progeny	48905653	16	15.6923104196		
25	AD0235-C	29-2	progeny	53964892	17	17.3085804816		
26	AD0236-C	29-2	progeny	53723734	17	17.2298490883		
27	AD0237-C	29-2	progeny	54577511	17	17.516396643		
28	AD0238-C	29-2	progeny	52922781	17	16.9886994846		
29	AD0239-C	29-2	progeny	49895479	16	16.0075830535		
30	AD0240-C	29-2	progeny	61373108	27	26.2172368821		
31	AD0241-C	29-2	progeny	51074488	16	16.4161406177		
32	AD0242-C	29-2	progeny	83551381	36	35.6783905057		
33	AD0243-C	29-2	progeny	54460635	17	17.4716281453		
34	AD0244-C	29-2	progeny	50141636	22	21.430179373		
35	AD0245-C	29-2	progeny	58518886	19	18.8094434198		
36	AD0246-C	29-2	progeny	58005966	19	18.6317389765		
37	AD0247-C	29-2	progeny	67400030	29	28.7902358127		
38	AD0248-C	29-2	progeny	54393168	23	23.2398778015		
39	AD0249-C	29-2	progeny	65772058	28	28.127704126		
40	AD0250-C	29-2	progeny	55903385	18	17.9447717897		
41	AD0251-C	29-2	progeny	48529121	16	15.5688098257		
42	AD0252-C	29-2	progeny	51956192	17	16.6753148808		
43	AD0253-C	29-2	progeny	58417028	25	24.9517398345		
44	AD0254-C	36-9	parent	75978409	33	32.3937646824	F	Ghana
45	AD0255-C	36-9	parent	69004663	31	29.3950755705	M	Mali
46	AD0259-C	36-9	progeny	58512057	26	24.9277554714		
47	AD0260-C	36-9	progeny	80328014	35	34.2110177005		
48	AD0261-C	36-9	progeny	53146763	23	22.6196905481		
49	AD0262-C	36-9	progeny	68986699	30	29.162274975		
50	AD0263-C	36-9	progeny	61453238	27	26.2136878351		
51	AD0264-C	73-2	progeny	86136995	38	36.7405031002		
52	AD0265-C	36-9	progeny	63527365	28	26.9023652129		
53	AD0266-C	36-9	progeny	55408274	24	23.6339147359		
54	AD0267-C	36-9	progeny	61878528	27	26.3472440614		
55	AD0268-C	36-9	progeny	66542433	29	28.373480169		
56	AD0269-C	36-9	progeny	76241722	33	32.4559310721		
57	AD0270-C	36-9	progeny	68324838	30	28.960204751		
58	AD0271-C	36-9	progeny	72503240	32	30.7268237722		
59	AD0272-C	36-9	progeny	73870917	33	31.5390134287		
60	AD0273-C	36-9	progeny	60352399	26	25.7202428549		
61	AD0274-C	36-9	progeny	70595151	31	30.1364123705		
62	AD0275-C	36-9	progeny	52035937	22	22.2053578232		
63	AD0276-C	36-9	progeny	90031534	39	38.3596326604		
64	AD0277-C	37-3	parent	58275995	25	24.9608192694	F	Kisumu
65	AD0278-C	37-3	parent	48983396	21	20.9163770792	M	Pimperena
66	AD0283-C	37-3	progeny	55038765	24	23.5145180415		
67	AD0284-C	37-3	progeny	51814560	22	22.1574881437		
68	AD0285-C	37-3	progeny	58012918	25	24.7733947518		
69	AD0286-C	37-3	progeny	57161762	25	24.4236719848		
70	AD0287-C	37-3	progeny	64778591	28	27.6689706008		
71	AD0288-C	37-3	progeny	63515893	27	27.1617526174		
72	AD0289-C	37-3	progeny	69247542	30	29.3251831869		
73	AD0290-C	37-3	progeny	66371922	28	28.1171716349		
74	AD0291-C	37-3	progeny	56826330	24	24.2675580659		
75	AD0292-C	37-3	progeny	60683271	26	25.9453387915		
76	AD0293-C	37-3	progeny	54526722	23	23.2700175193		
77	AD0294-C	37-3	progeny	74090285	32	31.6930234121		
78	AD0295-C	37-3	progeny	59993714	26	25.6483616023		
79	AD0296-C	37-3	progeny	68781220	30	29.4000176433		
80	AD0297-C	37-3	progeny	59383665	25	25.3906239114		
81	AD0298-C	37-3	progeny	61568767	26	26.0483033084		
82	AD0299-C	37-3	progeny	56295832	24	24.0770402419		
83	AD0300-C	37-3	progeny	65756882	28	28.1016150288		
84	AD0301-C	37-3	progeny	55422251	24	23.6733571963		
85	AD0302-C	37-3	progeny	66013409	29	28.2051738486		
86	AD0303-C	36-9	progeny	60717817	27	25.9004026426		
87	AD0304-C	36-9	progeny	65092910	29	27.7287156424		
88	AD0305-C	42-4	parent	82579927	37	35.2033818367	F	Mali
89	AD0306-C	42-4	parent	66313357	29	28.3003579038	M	Kisumu/Ghana
90	AD0309-C	42-4	progeny	59669628	26	25.4723142185		
91	AD0310-C	42-4	progeny	69082935	30	29.428957283		
92	AD0311-C	42-4	progeny	75109629	33	31.9962800823		
93	AD0312-C	42-4	progeny	80218861	35	34.1852948993		
94	AD0313-C	42-4	progeny	77154307	34	32.916955293		
95	AD0314-C	42-4	progeny	78242058	34	33.3803098207		
96	AD0315-C	42-4	progeny	119071085	53	50.8633003472		
97	AD0316-C	42-4	progeny	96109499	42	41.0641671129		
98	AD0317-C	42-4	progeny	63684850	28	27.2014291161		
99	AD0318-C	42-4	progeny	51216189	22	21.8489345858		
100	AD0319-C	42-4	progeny	113963160	50	48.6022502118		
101	AD0320-C	42-4	progeny	61359863	26	26.1858997243		
102	AD0321-C	45-1	progeny	73718312	32	31.3428615446		
103	AD0322-C	42-4	progeny	86673548	37	37.0402205687		
104	AD0323-C	42-4	progeny	76943216	33	32.8285896428		
105	AD0324-C	45-1	parent	74337979	33	31.6355214716	F	Mali
106	AD0325-C	45-1	parent	38937448	17	16.5653352407	M	Kisumu
107	AD0327-C	45-1	progeny	68613984	30	29.2849264872		
108	AD0328-C	45-1	progeny	61463203	26	26.2648098592		
109	AD0329-C	45-1	progeny	68805020	30	29.3137773114		
110	AD0330-C	45-1	progeny	60622642	26	25.8278131313		
111	AD0331-C	45-1	progeny	73600015	32	31.362066852		
112	AD0332-C	45-1	progeny	90709191	40	38.6372940664		
113	AD0334-C	45-1	progeny	56135606	24	23.9558989611		
114	AD0335-C	45-1	progeny	69943980	31	29.8304600175		
115	AD0336-C	45-1	progeny	94859153	41	40.4736625567		
116	AD0337-C	45-1	progeny	51328074	22	21.8825587035		
117	AD0338-C	45-1	progeny	64676708	28	27.5515262887		
118	AD0339-C	45-1	progeny	74837042	33	31.933863279		
119	AD0340-C	45-1	progeny	77822248	34	33.1753190224		
120	AD0341-C	45-1	progeny	54917325	24	23.402659596		
121	AD0342-C	45-1	progeny	56453796	24	24.082145501		
122	AD0343-C	45-1	progeny	80318964	35	34.2651836096		
123	AD0344-C	45-1	progeny	57291013	25	24.483854773		
124	AD0345-C	45-1	progeny	64338973	28	27.4211106772		
125	AD0346-C	45-1	progeny	57996439	25	24.7743370487		
126	AD0347-C	46-9	parent	64126771	28	27.3875795881	F	Pimperena
127	AD0348-C	46-9	parent	59383935	26	25.3740983452	M	Mali
128	AD0351-C	46-9	progeny	57089690	25	24.3656291895		
129	AD0352-C	46-9	progeny	74266917	32	31.7439785487		
130	AD0353-C	46-9	progeny	51560390	22	22.0151154924		
131	AD0354-C	46-9	progeny	58388672	26	24.9376270078		
132	AD0355-C	46-9	progeny	54862327	24	23.4324697086		
133	AD0356-C	46-9	progeny	62367675	27	26.6057389551		
134	AD0357-C	46-9	progeny	52569738	23	22.4393393922		
135	AD0358-C	46-9	progeny	58055179	25	24.7435283144		
136	AD0359-C	46-9	progeny	55900331	24	23.8633460805		
137	AD0360-C	46-9	progeny	50224509	22	21.4499765057		
138	AD0361-C	46-9	progeny	51666433	22	22.056528138		
139	AD0362-C	46-9	progeny	72613493	32	30.9590789656		
140	AD0363-C	46-9	progeny	50075569	22	21.3870385554		
141	AD0364-C	46-9	progeny	56110349	24	23.9357752258		
142	AD0365-C	46-9	progeny	64924544	28	27.7045118114		
143	AD0366-C	46-9	progeny	50763620	22	21.6509736938		
144	AD0367-C	46-9	progeny	58028641	25	24.7692656296		
145	AD0368-C	46-9	progeny	50061499	21	21.3596665309		
146	AD0369-C	46-9	progeny	69956558	31	29.8755020775		
147	AD0370-C	46-9	progeny	59952388	26	25.5816217311		
148	AD0371-C	47-6	parent	57750970	25	24.6111461147	F	Mali
149	AD0372-C	47-6	parent	52663967	23	22.4385443661	M	Kisumu
150	AD0374-C	47-6	progeny	66486814	29	28.1524927747		
151	AD0375-C	47-6	progeny	77781224	34	33.2118268501		
152	AD0376-C	47-6	progeny	60443252	26	25.766671506		
153	AD0377-C	47-6	progeny	69825016	31	29.808543589		
154	AD0378-C	47-6	progeny	55875192	24	23.8171361118		
155	AD0379-C	47-6	progeny	52295323	23	22.2950601136		
156	AD0380-C	47-6	progeny	91690565	40	39.1343280429		
157	AD0381-C	47-6	progeny	87458048	38	37.375317732		
158	AD0382-C	47-6	progeny	58245659	25	24.8649440947		
159	AD0383-C	47-6	progeny	46054760	20	19.6276403185		
160	AD0384-C	47-6	progeny	61391134	27	25.9945102645		
161	AD0385-C	47-6	progeny	67195751	29	28.7010680638		
162	AD0386-C	47-6	progeny	57874452	25	24.7028230249		
163	AD0387-C	47-6	progeny	63124902	27	26.9461548618		
164	AD0388-C	47-6	progeny	70622791	31	30.1433428611		
165	AD0389-C	47-6	progeny	76570894	34	32.7008778064		
166	AD0390-C	47-6	progeny	64971349	28	27.6149259847		
167	AD0391-C	47-6	progeny	101767767	45	43.2853981997		
168	AD0392-C	47-6	progeny	74699845	33	31.8626619598		
169	AD0393-C	47-6	progeny	70917961	31	30.0636832078		
170	AD0422-C	73-2	parent	56581673	25	24.1324726162	F	Akron
171	AD0423-C	73-2	parent	44778968	19	19.0973585433	M	Ghana
172	AD0427-C	73-2	progeny	65970925	29	28.1280581208		
173	AD0428-C	73-2	progeny	81545827	36	34.7844140595		
174	AD0429-C	73-2	progeny	63897131	28	27.2208236352		
175	AD0430-C	73-2	progeny	74817284	33	31.9215669015		
176	AD0431-C	73-2	progeny	56913281	25	24.3041890264		
177	AD0432-C	73-2	progeny	57393617	25	24.38415859		
178	AD0433-C	73-2	progeny	78174373	35	33.3471771233		
179	AD0434-C	73-2	progeny	69427322	30	29.6207727697		
180	AD0435-C	73-2	progeny	99089290	43	42.3337926839		
181	AD0436-C	73-2	progeny	94190103	41	40.2219679656		
182	AD0437-C	73-2	progeny	53442465	23	22.6456626826		
183	AD0438-C	36-9	progeny	82474110	36	35.161209502		
184	AD0439-C	73-2	progeny	69458024	30	29.6650577137		
185	AD0440-C	73-2	progeny	93555272	41	39.8756121064		
186	AD0441-C	73-2	progeny	78820153	34	33.5961213513		
187	AD0442-C	73-2	progeny	55716947	24	23.7822944297		
188	AD0443-C	73-2	progeny	104099149	46	44.3948401265		
189	AD0444-C	73-2	progeny	62192772	27	26.5230222088		
190	AD0446-C	73-2	progeny	66958894	30	28.3594221224		
191	AD0447-C	78-2	parent	66122760	29	28.1564304376	F	Mali
192	AD0448-C	78-2	parent	46040002	20	19.6351446665	M	Kisumu/Ghana
193	AD0453-C	78-2	progeny	75035431	33	31.9693414696		
194	AD0454-C	78-2	progeny	65266436	28	27.841823197		
195	AD0455-C	78-2	progeny	91774736	40	39.1758000681		
196	AD0456-C	78-2	progeny	84571332	36	36.0858977921		
197	AD0457-C	78-2	progeny	82208138	36	34.9985410297		
198	AD0458-C	78-2	progeny	68346717	30	29.1779761313		
199	AD0459-C	80-2	progeny	72683393	32	31.0301545833		
200	AD0460-C	78-2	progeny	62854052	28	26.8304120843		
201	AD0461-C	78-2	progeny	61256320	27	26.1089915493		
202	AD0462-C	78-2	progeny	62409189	27	26.5582791484		
203	AD0463-C	78-2	progeny	61911798	27	26.4127841365		
204	AD0464-C	78-2	progeny	101112156	44	43.0642393489		
205	AD0465-C	78-2	progeny	54466899	24	23.1344323921		
206	AD0466-C	78-2	progeny	54480743	23	23.2355869248		
207	AD0467-C	78-2	progeny	74112087	32	31.5930144333		
208	AD0468-C	78-2	progeny	71247537	31	30.3880284644		
209	AD0469-C	78-2	progeny	60646422	26	25.8742474882		
210	AD0470-C	78-2	progeny	74402025	32	31.7071539941		
211	AD0471-C	78-2	progeny	73666062	32	31.4132964015		
212	AD0472-C	78-2	progeny	64230890	28	27.399071129		
213	AD0473-C	80-2	parent	51045511	22	21.7994706887	F	Kisumu
214	AD0474-C	80-2	parent	43256072	19	18.3883169356	M	Akron
215	AD0479-C	80-2	progeny	60217005	26	25.6966534599		
216	AD0480-C	80-2	progeny	63165807	28	26.9407449642		
217	AD0481-C	80-2	progeny	72243774	31	30.8264022201		
218	AD0482-C	80-2	progeny	75254934	33	32.079048259		
219	AD0483-C	80-2	progeny	71861358	31	30.6916496559		
220	AD0484-C	80-2	progeny	72030293	31	30.6857777088		
221	AD0486-C	80-2	progeny	58299252	25	24.9182038077		
222	AD0487-C	80-2	progeny	59625238	26	25.435755685		
223	AD0488-C	80-2	progeny	58100985	25	24.8177612478		
224	AD0489-C	80-2	progeny	57148830	25	24.3367254553		
225	AD0490-C	80-2	progeny	56196869	24	23.981699548		
226	AD0491-C	80-2	progeny	68857191	30	29.4360955346		
227	AD0492-C	80-2	progeny	59136523	25	25.2525467187		
228	AD0493-C	80-2	progeny	71471620	31	30.5405565413		
229	AD0494-C	80-2	progeny	73423275	32	31.2909184386		
230	AD0495-C	80-2	progeny	52063346	22	22.2261095279		
231	AD0496-C	80-2	progeny	64160111	28	27.4072275323		
232	AD0497-C	80-2	progeny	69536361	30	29.6559833295		
233	AD0498-C	80-2	progeny	32401988	14	13.8003260923		
