	GM_F-An. coluzzii_F	GW_F-An. coluzzii_F	KE_F-An. coluzzii_F	GM_F-An. gambiae_F	GW_F-An. gambiae_F	KE_F-An. gambiae_F
67219	0.008774535302067368	0.00893641522473485	0.004232433317977365	0.00648585102372969	0.007444425364306633	0.009062347216136918
188964	0.006562750411039672	0.006562695810643961	0.003991407731710247	0.005844441695025512	0.006292000349655276	0.006096623952947252
297906	0.008546095164520985	0.008610025107001339	0.0074594607463539285	0.0074261933205763565	0.007720524180672977	0.007723458289566953
412962	0.011063904808197458	0.010528102774068382	0.007139659624775479	0.00842215029868911	0.00923940847050539	0.011104240339186975
525615	0.01017701328830477	0.009975740577472593	0.008735339887483084	0.00969601130837435	0.009984136683806136	0.010322654820251269
634021	0.012017760809767868	0.011939554886534538	0.011087672786674925	0.01232589813286532	0.012389090566785428	0.01213531515665482
745829	0.01433621002794719	0.014304043678572612	0.013905498821367225	0.014617533920890796	0.014579360487221494	0.014334208347543839
858215	0.015469127625751977	0.0154866928437011	0.01534182750140625	0.015672590794572745	0.015749013701301957	0.01555748984617731
972700	0.015394630184246964	0.015405561728761685	0.014753375749396938	0.015936233466599045	0.01597888691806485	0.015385878425857561
1088926	0.015880182046111684	0.015896089864448366	0.015470911878711831	0.01622705246949868	0.016265611114682263	0.015808061600599603
1209198	0.01424932661403749	0.014223442633156507	0.01401713828629455	0.014658377860938982	0.014662257429280547	0.014532377130053155
1333239	0.014086255298972283	0.014057081299122701	0.013919948277211477	0.014482352224514624	0.014480612769106223	0.014304806546613534
1460621	0.016501568647331478	0.017014111386610572	0.01684059624913515	0.017004931031134384	0.017545507598318112	0.017009801050970642
1586297	0.017317088545178345	0.017751107329234673	0.017545817403135468	0.017959519794833085	0.018387491606420867	0.017630647585708342
1707262	0.015185228681046563	0.0154784829454004	0.015669492344909004	0.015544359669905142	0.015849305430871444	0.015579736885195976
1835624	0.015108185010053182	0.015182777383558641	0.01571666194351334	0.015655454214710627	0.015742003075902868	0.015729979308063153
1958592	0.015557118674087435	0.015583879625210493	0.015539116745027814	0.01587776957692161	0.01592667361844532	0.015480877399155152
2069294	0.016944486704091693	0.016955489279690397	0.01671180312079401	0.0170751272308537	0.017104787070363267	0.016809599576931927
2229197	0.01689775053557469	0.01690303044139137	0.016178856755212214	0.017140142716449418	0.01713282670844349	0.016715179485000037
2390393	0.013249108872182678	0.013289719893512091	0.012869378933241015	0.013490408320065822	0.013519470099806941	0.013184327904788283
2506041	0.014736766219332075	0.014752528717040058	0.014596346995977446	0.01499466793461419	0.014973587654369413	0.014702163855654565
2620965	0.013194329558646143	0.01321429716736015	0.013329455928910888	0.013365041927419356	0.013413181803369824	0.01349586097310551
2739019	0.014178450585180542	0.014135543113153844	0.013870836941257701	0.014436734412679777	0.014393720007362065	0.014009796109682919
2859068	0.013724246085160844	0.013762598244415744	0.01369841517882919	0.013938311796356352	0.013951011782353492	0.013713749860561224
2989851	0.012876614623110981	0.012899792783036388	0.012914510046630256	0.013106476697932773	0.013152021642180966	0.01286523989851025
3130441	0.011367812394914158	0.011361375849846552	0.011340893937119107	0.011590777089104144	0.011617078504012425	0.011367627996038287
3260082	0.012618939298781547	0.01252221480642728	0.01258287326050752	0.013078194304659396	0.01310028771252471	0.012827527831199193
3391236	0.012819348438295897	0.012818676742674704	0.012955005351911398	0.013127300221846425	0.013156004530920985	0.013172791745283656
3518674	0.013534110250328588	0.01357115911543968	0.013630048612641325	0.013752153872112852	0.013794494530906304	0.013733314263529505
3631810	0.013722494326466314	0.01367575987379144	0.013655589983183938	0.01390036691024364	0.013866232094540453	0.01373522592032426
3742452	0.013444697315862977	0.013431081007381713	0.013230662825837422	0.013482282295514096	0.013482008445221818	0.013160762209971987
3852219	0.013450034889337086	0.013500464941019513	0.01331681156478118	0.01370354395457531	0.013762291588023444	0.013449496515383722
3963836	0.012636710799151659	0.012655151345297044	0.012593031292734272	0.012877109363575296	0.012912617600146684	0.012668584461434334
4075497	0.015476651109139854	0.015416372625655131	0.015059771807781529	0.015708847492544045	0.015683811896526553	0.015279462613452963
4193659	0.017326060011986423	0.017312204941772123	0.01665012012289884	0.01752479431317626	0.01752636445895048	0.016836355842854017
4317850	0.015581643920498786	0.015590961239505827	0.015294459455947053	0.01578173256107826	0.01581160285675832	0.01543638815332631
4440841	0.014961524245434041	0.015024545289158022	0.014963797754599337	0.01518994036081485	0.015246651489955135	0.015154280333035017
4560141	0.014730574235697345	0.014624407246276096	0.014641204782894247	0.015093842444723468	0.01498199296600952	0.014937097371005306
4675554	0.014034910563427346	0.014057100756653043	0.013544806407874605	0.014143463589364287	0.014186410008310184	0.013723196503898574
4793616	0.014993365752783313	0.01498336891970165	0.014730475141442146	0.015219717009456315	0.015199392748455776	0.014865920951124914
4916271	0.01633294001485948	0.016297397177243964	0.01608278970021147	0.01655445708622931	0.016527154005867746	0.01622823494984394
5041416	0.014291704909662133	0.014336195678085391	0.014241343917968493	0.014550560732280194	0.014596069996420998	0.01445841811181876
5164516	0.01601627465077461	0.016020016851118174	0.0157510792619961	0.016354348065285133	0.016413243749456748	0.016080853092139507
5284206	0.014916726952768912	0.014927545794740428	0.01456395140313101	0.01527319042924926	0.01528985956456532	0.014829317243276846
5398504	0.013805089942855748	0.013796679978538949	0.01347627145037313	0.014042862801154708	0.014038455513676659	0.013657666134898966
5508847	0.013534322219239624	0.013603854175006308	0.01341335804969769	0.013766976368159893	0.013843217409345732	0.013557319153211213
5622472	0.015147346879625895	0.015117918522532397	0.01430286060941077	0.015476238887948503	0.01547017977352823	0.01471064574145551
5735218	0.015807290554894445	0.015827128765714255	0.015255706072818367	0.01595924981194401	0.016009172994662264	0.01504280975256755
5870742	0.014748286668066825	0.01468765001082506	0.01485042168851323	0.015227623615311693	0.01520656539536605	0.014691776826027349
6023196	0.015003043384357356	0.014986231143789714	0.014935762265160435	0.015559203534445272	0.01557490130550885	0.014981621993526597
6170432	0.015972042110721833	0.015957077889693045	0.016127824003221977	0.016647977064002815	0.016681386839213632	0.016190446141507903
6317727	0.017096236012176726	0.017088450443004437	0.01694079508069093	0.017624677942261784	0.017723959374829075	0.017401708888059475
6469831	0.014996319635707552	0.014955934651708518	0.015160868883676121	0.015448351113194621	0.015437697205972692	0.015437539334101073
6609209	0.015547438391744722	0.01557538844637796	0.015748321444070866	0.01574484092868232	0.015772797247420717	0.015867801386250893
6729313	0.01808385707384461	0.01819154929182951	0.018439305278166118	0.018398433601515104	0.01849267772398208	0.01833025878009667
6862249	0.01811226596767203	0.018114304939193766	0.018157318233959874	0.018509510598047858	0.01851090486777725	0.01810899441611432
7015358	0.01652320444985526	0.01657804591775121	0.017381409230103263	0.016983799821815554	0.017036009594477427	0.017277119519129396
7156822	0.01534090053538315	0.015336261444796755	0.01516749717696652	0.01549979181711607	0.015532700731212495	0.015278894394522418
7273762	0.014500595143686424	0.014561649290415486	0.014529037586290722	0.014674647839949439	0.014733113286084442	0.014625364226530288
7397146	0.015025813512010882	0.015066420810554152	0.014819161187139062	0.015212643616098314	0.01526830839777596	0.015001390233135674
7526993	0.01453416605466424	0.014470321907772631	0.014123497032910064	0.014763050670457146	0.014722772615179347	0.01437424525829113
7650999	0.014339610315837437	0.014276226628377865	0.014117375382326477	0.014514229448625838	0.014474164949840492	0.014198890559828826
7823608	0.013928697730713995	0.013907493675940132	0.013666740535986424	0.0141145333702826	0.014094448549825684	0.013828589568267966
8024121	0.017109520582745907	0.01726408885347266	0.01668492717851864	0.017327429124284463	0.01749364932924357	0.01680193834918022
8169348	0.016005596900730983	0.016022303857575977	0.015915212822539593	0.016266053822556463	0.0163260264819898	0.016179585798854968
8282807	0.014357729322122616	0.014362790002398365	0.014377163972865715	0.01444772405546065	0.014472489576129892	0.01450514407400021
8403875	0.014994454568694814	0.014948548463947664	0.0151156100507148	0.015175371066068578	0.015133049228083383	0.015288307641613891
8527841	0.015590493603577775	0.015658258412967644	0.015483562736719005	0.015692623341602766	0.01577520401128801	0.01571584136798796
8647744	0.01624742705379209	0.0162068999088725	0.015812683788516975	0.016381914927203246	0.01634932657800778	0.01581448800837048
8775632	0.016108935038064768	0.016148147288866765	0.015934909106788877	0.016334131793745356	0.01640961292665552	0.015981017313305916
8902656	0.015054916558935169	0.015052321432775148	0.015001209821924974	0.01523680525423285	0.015249781148551926	0.015074887947997813
9038232	0.016069918116034903	0.01607610748664714	0.016095958744164238	0.016431765489817913	0.016460953703319247	0.016229373980582548
9189601	0.015281955161195114	0.015240220013506717	0.014774806228873193	0.015359130495792623	0.015327618776836478	0.014909924090107338
9322420	0.015091154213203182	0.015065561498262004	0.01495046707193479	0.015255635105030774	0.01523671739715942	0.015043172860618886
9438470	0.014458895148092177	0.014415256485185397	0.014182097919463421	0.014672053779235842	0.01467201843573663	0.014310662527933041
9560156	0.01575635995310868	0.015770263893319335	0.015524199662398597	0.015945699302909382	0.01597744218182893	0.015747096525795763
9693483	0.014325085658857865	0.014298799780098553	0.013952122529424247	0.014488062920236494	0.014457701830568537	0.01394750302677441
9872301	0.015806976461712488	0.015837277591067008	0.01557263403095429	0.015966624420680434	0.016021218399869402	0.0158213218056597
10041609	0.01622853879430464	0.016299473820295816	0.015843042907194908	0.016409135228444362	0.016476072540123975	0.016030931233592238
10163051	0.01523655911674576	0.015255732052273825	0.014999842098985222	0.015362847691302823	0.015390225861491276	0.015075449430632116
10285965	0.016173984854951442	0.01616428550445686	0.016245067010249192	0.01645307405679841	0.01645007687291617	0.01645267363110338
10420421	0.014587740277606665	0.014615700314541269	0.014660107502598597	0.014736123388367913	0.014767062158788601	0.014626708689194167
10552782	0.0152115892995518	0.015228145812084485	0.015034994726102782	0.015306926163185788	0.015350341202738909	0.015155043005616806
10687830	0.01569582222942307	0.015735741629044255	0.016067805240606654	0.015908278598727357	0.01594078948604871	0.015750217065073287
10851698	0.014883101976705684	0.01489156456234537	0.015203937778187631	0.015302018337592566	0.01532828079216122	0.014917368459268792
11044980	0.014626868396963096	0.014697205950529847	0.014612866991443903	0.014936837652162631	0.014965758756793415	0.01460963630746934
11208421	0.01566866523662767	0.015728115389286687	0.01562989420849609	0.015811691787215157	0.01587283093107907	0.015624822657623326
11338382	0.016498745099476825	0.0164900800621287	0.01626650444301754	0.01676847889601863	0.016771094485201844	0.01643423249923117
11501120	0.01698512381937515	0.01694465268503184	0.017053301442947973	0.01710321030904677	0.017063616845113483	0.01702960252410639
11678153	0.01681756611476711	0.016876907468079804	0.01635938635069998	0.016984587417053092	0.017040228017774446	0.016367824140351456
11888292	0.01698286175396535	0.016945062806806247	0.01684270793366006	0.017254496216556482	0.017216088255822225	0.01681241746904096
12149163	0.01608576797873224	0.01606901227616968	0.01642220416053746	0.016288311149831047	0.01628252925185383	0.016457170393241457
12413388	0.015967592839293707	0.0159542400784929	0.015893066935438654	0.016269155365028473	0.01625703390781853	0.01608143048343998
12623450	0.017761885808460255	0.01779668095172734	0.017629037748250448	0.018061274857280988	0.018107400316768035	0.017737643682763985
12788810	0.016791274121319772	0.016792364926073205	0.016775736728016435	0.017084476913492196	0.017071493052177884	0.016887071819220553
12946451	0.016066722289045935	0.016107169562365638	0.015801298176046533	0.016327572976796052	0.016363749403271184	0.015970083880194077
13108839	0.017330125222965613	0.017350654288396536	0.017362470218911946	0.017601600674880223	0.01763541174258803	0.017531553440601387
13277235	0.014908970017473686	0.014833143831872297	0.014684258276111025	0.015274151529429769	0.015259753947243108	0.01496371499710743
13443942	0.015046380805494537	0.015000885638156217	0.015181880180649277	0.01550560790735195	0.015484783591115945	0.01547671822465451
13612582	0.015082544759358593	0.015046605833845428	0.014892448954584463	0.015450294150208146	0.015423757526923864	0.015143128341094901
13762486	0.016047484223586497	0.016010421774375855	0.01626798281600465	0.01640122260033274	0.016388680927181522	0.01624006504114074
13917360	0.016057333939774297	0.016047379434431505	0.01597175798517163	0.0164763808936698	0.016513725102560616	0.01623391676631341
14101625	0.01655451826102655	0.01652958171689834	0.0163749211772987	0.016803937164092068	0.01682976988685024	0.016569920777820043
14310062	0.01459069397635999	0.014677679518153854	0.014199969801864712	0.014854049993159174	0.014950068036711025	0.014377317736120672
