	GM_F-An. coluzzii_F	GW_F-An. coluzzii_F	KE_F-An. coluzzii_F	GM_F-An. gambiae_F	GW_F-An. gambiae_F	KE_F-An. gambiae_F
66111	0.0021355427497482845	0.0021337223554163463	0.002062720686229466	0.0016814695654426884	0.0018530356772929859	0.0021179042180646764
190123	0.00413986123643293	0.004142313396267755	0.00405665644374306	0.003884608918916117	0.003939672596064923	0.00374456264729434
308935	0.005947453749131469	0.005897080650638504	0.006024681836909121	0.0059638741937866795	0.005924062641435035	0.00593123801101518
429598	0.006717923532385662	0.006712181568514572	0.006722329384740784	0.006787688941110552	0.006789816680717775	0.006633085220298252
558497	0.00941688929593274	0.009392574536325244	0.009438433903949371	0.009451198399828126	0.009434328492329782	0.009397790632944686
694970	0.010148693103721877	0.010178017174462865	0.01003514094692892	0.010180824873189432	0.010207289208561962	0.010023655910756928
825396	0.009099008104176057	0.00909389670796737	0.009028051722152958	0.009160131583725587	0.009149360237893558	0.008948682557348733
956206	0.007516859847253416	0.007539023237542681	0.0075000291797524396	0.007515145348212834	0.007536266389585414	0.007455461870349886
1098289	0.010677766845193564	0.010714203562019138	0.010559162522407833	0.010694211292597797	0.010738855795356095	0.010543687820683949
1237977	0.009748294260075192	0.00976479048555542	0.009546270756137674	0.009816493011100585	0.009847448497670544	0.009528067450317592
1372752	0.009647989662078813	0.009673068503059119	0.009239525201830592	0.009697958718071964	0.009715818966688886	0.00910910493742182
1503757	0.010090288065597017	0.010080873852610587	0.009733689538218404	0.010119304995130137	0.010110469071716983	0.009646345859163907
1639143	0.010161884416963377	0.01019369609632792	0.009863114408231349	0.010256476576995391	0.01030001096159231	0.009787742844101173
1789271	0.009202380152417804	0.009220854933047097	0.008939465410760628	0.009229505827593748	0.009261058388417771	0.009008636896986444
1934721	0.010295196867178268	0.010306962877943804	0.010132497644909743	0.010314571703535188	0.010322787317744024	0.010172957190184287
2067518	0.008147871430114853	0.008157480923897073	0.008308539764316654	0.008217527596197238	0.008228673075131978	0.00831218316409763
2198725	0.009214793196613913	0.009238824656317968	0.009089322053998638	0.009278209859686143	0.009304253585462502	0.009028668968849903
2336548	0.011073280434550784	0.011094700773006245	0.01085663980961504	0.011097811584270091	0.011114954978927963	0.010723737680119071
2466907	0.01057419799978908	0.010537157783181029	0.010185107538917229	0.010646014886870466	0.01061192692855197	0.010138422194316904
2593864	0.011232739584163355	0.011280188436948838	0.011252448197341215	0.011247041301407178	0.0113029337537306	0.01110061796051238
2719996	0.010171551477998756	0.010162129355161677	0.01015850577186439	0.010257263592529648	0.010251848080307996	0.010049031448960275
2845049	0.00991200701130392	0.00993006744435241	0.009767868461592251	0.009999143113380184	0.010013068127561647	0.009695775249956535
2986693	0.007587945911465123	0.007568922484832701	0.007442762283771909	0.007651707684772357	0.007633213447618548	0.007382668067740142
