	GM_F-An. coluzzii_F	GW_F-An. coluzzii_F	KE_F-An. coluzzii_F	GM_F-An. gambiae_F	GW_F-An. gambiae_F	KE_F-An. gambiae_F
439957	0.003859081608221133	0.004276933526731348	0.002963573542040667	0.0036538728343921303	0.0042990813622732615	0.0023616327668250746
1163120	0.0038186866233776624	0.004291013755836075	0.0032016133717455483	0.003741482293186214	0.004296594943175292	0.002623697167885268
1706749	0.005248797052776015	0.006010288290132279	0.0036920272428864727	0.004982380745808037	0.005866904186593249	0.0032882078211309454
2151273	0.006551693573944933	0.00824165920392953	0.0033362653535285217	0.006154206433616301	0.007823048714640455	0.0031332982233604504
2493802	0.004582215166290731	0.00550783959961421	0.0036076457899189133	0.004593456676056434	0.005550265164788936	0.003430472497775909
2762515	0.005356969068138565	0.006689771470046269	0.004566877647441982	0.005406249625285252	0.0065659628670014635	0.004222787424896645
2974084	0.005030030980411483	0.005797057589783299	0.004740036552662815	0.005269421302673243	0.0059713689549816375	0.004673707500543787
3138714	0.007318520790115732	0.007425849510363707	0.0068552265641704194	0.00727045634260017	0.007451900565338005	0.006442055039337895
3312956	0.008685601934338164	0.008896414640036255	0.008367256073464209	0.008631806790563369	0.008863277904067856	0.008064220375523536
3463376	0.010102832679902566	0.010330123580612206	0.010078581562875522	0.010087446514515262	0.010397914936044257	0.009669557635805012
3616475	0.01094947128854119	0.01096049637066332	0.010645864379671365	0.01075499744523949	0.010849486443587932	0.01026813064878603
3783957	0.01072113111650492	0.010711943387815727	0.010487087243233531	0.010642876732765696	0.010666127613378679	0.010329945644443833
3991456	0.009195773875569774	0.009247663338309297	0.008757125120233675	0.008988384715043094	0.009190594223284968	0.008887219794022343
4205360	0.010074192587457698	0.010411869783350106	0.009108248422282245	0.009143899730687638	0.009913440038941682	0.009065536004232813
4360712	0.008337559209403352	0.008344891309825528	0.00770071053002069	0.008352273811024283	0.00854548899616248	0.008335279961952786
4502613	0.009534830443579945	0.00949803176167832	0.008982973277638025	0.009545275653498955	0.009542736739292965	0.009185106403532272
4674503	0.01081433188747955	0.010788807327249265	0.010480556065540787	0.01083186478717987	0.010886974823980511	0.010726746471928755
4847058	0.010144875244120074	0.010164975653635144	0.009617414925422499	0.009961698628221641	0.010023294909437914	0.009831494263884213
5225501	0.01025692346910107	0.010286404587966194	0.00976463358433965	0.010174432098223765	0.010257449094759702	0.01007702815908636
5634252	0.01061660797464074	0.010558384056345042	0.009710542093185757	0.009229350602847082	0.009925407597567059	0.00861194044433134
5814701	0.009843998278743006	0.009856227001759515	0.008871371932738525	0.008756850033486249	0.008995950917716598	0.00831429015664074
5999344	0.010725891541945632	0.010975771618170463	0.009917377320060044	0.010051921123318099	0.010200764336746389	0.009654066732248013
