	An. coluzzii_F	An. coluzzii_M	An. gambiae_F	An. gambiae_M	Unknown_F	AOcol_F	BFcol_F	BFcol_M	BFgam_F	BFgam_M	CIcol_F	CMgam_F	CMgam_M	FRgam_F	FRgam_M	GAgam_F	GHcol_F	GHgam_F	GM_F	GNcol_F	GNgam_F	GQgam_F	GW_F	KE_F	UGgam_F
439957	0.005189946718062514	0.005783333333333326	0.005922578170303917	0.00608552035474293	0.005014269159065353	0.00542628954378956	0.005072060278336695	0.005783333333333326	0.006067835820895509	0.006069599999999979	0.005276056338028207	0.0060919277407592174	0.00608608225108222	0.006156805555555555	0.006116742424242425	0.006059856138107434	0.004955988215488161	0.006077500000000005	0.005044405048077035	0.00548375	0.006071500000000003	0.005716111111111108	0.004486005811458909	0.0052039007092198305	0.0061142350326892
1163120	0.005476891957715816	0.006353333333333334	0.006095486770691823	0.006317962962962953	0.004719335843849826	0.005587209457209414	0.005494029733959333	0.006353333333333334	0.006348880597014921	0.006350599999999995	0.005670193158953732	0.0063268586485978225	0.00631840909090907	0.006292727272727277	0.006248333333333328	0.006169127237851694	0.00512000000000003	0.006353333333333334	0.004412873740842553	0.00585875	0.006356000000000004	0.005851180555555564	0.004265208797595237	0.005339949024822671	0.006311505879790962
1706749	0.006708041096347634	0.007676666666666667	0.007562933928678549	0.00761793672839505	0.006624454636261693	0.006791422765830619	0.0065765876928236796	0.007676666666666667	0.0076767073722297605	0.0076745999999999984	0.006807453109964155	0.007734670189421866	0.007739878435517951	0.007484128787878808	0.007053333333333331	0.007458996545405953	0.006605454545454601	0.007670416666666664	0.006789084296626675	0.0069791666666666665	0.007675125000000004	0.007092638888888942	0.006624723538259343	0.006304610000571948	0.007758459620334621
2151273	0.006263110548361493	0.006956666666666665	0.007131146946499423	0.006784759571808064	0.007505231477137996	0.006277470862470862	0.006109908059467884	0.006956666666666665	0.006953876074174575	0.006954399999999997	0.00643771327967812	0.006839566593025382	0.006819610389610359	0.0066966666666666685	0.006302575757575752	0.006794637681159455	0.0059879831649831666	0.006955	0.008435998125745263	0.00634875	0.006954999999999998	0.0063961111111111016	0.00926336711570929	0.005782508865248229	0.006907857142857151
2493802	0.0056077504482402755	0.005769999999999989	0.0058030754085320315	0.005980423373694201	0.005459167045738011	0.00558758340343869	0.00556263888888888	0.005769999999999989	0.005990223880597016	0.005994399999999986	0.005720513078470866	0.00590702704502822	0.006005767222709179	0.005882499999999998	0.005857916666666682	0.005979715613891209	0.005501003367003342	0.006010416666666665	0.005649747929633014	0.0056375	0.00599000641025641	0.0054722222222221215	0.0057069747561821005	0.0052930187133826976	0.005262232142857135
2762515	0.006110211088511905	0.006123333333333336	0.006151444269638519	0.006146236111111134	0.006009018779575741	0.006141794871794873	0.0060082638888889085	0.006123333333333336	0.006466677938976425	0.006482999999999999	0.006224577464788789	0.005950245346670998	0.005933068181818162	0.006205681818181813	0.006226363636363627	0.006237563010477728	0.0058984597902097665	0.006563333333333333	0.006291105579742901	0.00623875	0.00649656730769231	0.0059949999999999145	0.00668172950073913	0.005403428442028975	0.0059103571428571365
2974084	0.004917482678854908	0.005053333333333335	0.0053078419229762586	0.005194168424753919	0.005347382292396818	0.005028606393606369	0.004780925273865488	0.005053333333333335	0.0053599547715965454	0.005347599999999981	0.004803782350352169	0.005049009541926504	0.005009215367965307	0.005593181818181818	0.005552462121212117	0.005344429149622098	0.0049488181818181255	0.005342500000000018	0.005492641655219921	0.0049475	0.005355144230769194	0.0051577777777776735	0.0058226909855501165	0.005025627216312062	0.005494288961038928
3138714	0.006614890908808163	0.00678666666666667	0.006961004170564782	0.006889606251001975	0.006938974046294186	0.006735900765900828	0.006555822109125544	0.00678666666666667	0.006883213547646305	0.006866399999999957	0.006490341162919705	0.006895445816730963	0.006874545454545317	0.0069193181818181905	0.006993598484848504	0.007010214771201637	0.006628314814814715	0.007024886363636357	0.007229930230611952	0.00652875	0.006888875000000032	0.006977708333333094	0.0072574409392106055	0.006364073581560303	0.006996359865069836
3312956	0.007978924808618532	0.008141666666666627	0.008428437966740115	0.008383015066742607	0.008361602727701908	0.007986665001665061	0.008019307384523089	0.008141666666666627	0.008345671641790828	0.008325999999999847	0.007969065099111118	0.008395279717826554	0.008372562103593856	0.008581666666666675	0.008540492424242395	0.008425610129993884	0.00789128346861943	0.008311666666666634	0.008607134157085082	0.007979583333333333	0.008351740384615504	0.00839062499999967	0.00872462387850006	0.007848397220937433	0.008406640970800997
3463376	0.009124134097847384	0.009224999999999976	0.010034666210324086	0.010066188313083306	0.010019555222171276	0.009722930402930475	0.00911293834082976	0.009224999999999976	0.010047497738579584	0.010054108333333122	0.009058113620384974	0.010115629426552752	0.010118337058290256	0.009997386363636345	0.009900643939393912	0.00989388924562362	0.00827780567097947	0.009978977272727214	0.010129142838065056	0.00937125	0.010033157219973166	0.009912847222221811	0.010269855283061468	0.009729954049730668	0.009824685056415821
