	An. coluzzii_F	An. coluzzii_M	An. gambiae_F	An. gambiae_M	Unknown_F	AOcol_F	BFcol_F	BFcol_M	BFgam_F	BFgam_M	CIcol_F	CMgam_F	CMgam_M	FRgam_F	FRgam_M	GAgam_F	GHcol_F	GHgam_F	GM_F	GNcol_F	GNgam_F	GQgam_F	GW_F	KE_F	UGgam_F
76391	0.0033630552955208446	0.0033225000000000103	0.003701469763910864	0.004053512357646509	0.0032179518714671026	0.0031469730660511125	0.003390718896713729	0.0033225000000000103	0.0035856716417910057	0.0035490000000000105	0.003478649899396358	0.003621540866773157	0.003524331395348757	0.007054508658008661	0.007050386363636366	0.003805009686223654	0.0034810909090908625	0.0033604166666666648	0.003604909644905609	0.00331875	0.0036291249999999015	0.003549444444444419	0.003517241375759441	0.0026032668439716247	0.0036881249999999198
206072	0.004305171573204897	0.004151666666666681	0.004247871759034739	0.0045443569998602695	0.004017486703399794	0.004251580897173014	0.004238909484686079	0.004151666666666681	0.004156349006714662	0.004211599999999993	0.00436871931589541	0.004145268079440674	0.004122056025369877	0.006984091991341993	0.00678809415584415	0.00399572996589946	0.004350930976430862	0.004199583333333339	0.004723837660319057	0.00432625	0.0041883851351349885	0.004087569444444392	0.004621274725274624	0.0027894791666666628	0.004223625901048368
324181	0.007902556843382258	0.008089999999999964	0.008138513718128796	0.008095438147310957	0.00786873919826034	0.007866874202113771	0.007766462133915112	0.008089999999999964	0.007931318407959905	0.007944508333333072	0.007912690382782502	0.007986415547219206	0.007890158562367543	0.009332297979797972	0.009165659090909098	0.007888131210481536	0.007965813131312829	0.007915416666666623	0.009081334474450744	0.008088333333333333	0.007988913461538594	0.007817569444444289	0.009275267949977493	0.005622749094202906	0.008078137467825364
439117	0.00926908637242897	0.008804999999999922	0.00982925324240377	0.009936616960789157	0.008876738658973097	0.009379925560320503	0.009227122624637327	0.008804999999999922	0.00977351669373791	0.009840524999999593	0.009189094844429138	0.00973912743851565	0.009829427413671108	0.010553429292929281	0.010535227272727272	0.009679993978326182	0.009105755892255575	0.009536249999999883	0.010078325720367268	0.009644583333333333	0.009849371708247127	0.00980861111111091	0.010386803171743699	0.006522142664263891	0.009825579837955527
543518	0.009765564762329995	0.009641666666666607	0.009897375260259272	0.009923860138950582	0.009379647484771367	0.009819093600319474	0.009675948622968932	0.009641666666666607	0.009765935097240476	0.009847408333332855	0.009785949983483212	0.009767586030569778	0.009798583509513166	0.01052727272727274	0.010543933982683981	0.00982105802423714	0.00965456047900349	0.009818333333333188	0.010831512939289975	0.009603333333333334	0.009727711538461829	0.009616666666666438	0.010878464566873372	0.006772013457556913	0.00977930501930567
655459	0.012105998894321237	0.012394999999999818	0.012570680932747913	0.012763393570910005	0.010536933076341782	0.012742905965723828	0.012048132966884246	0.012394999999999818	0.012675190622030938	0.01261986521739077	0.0117326568047693	0.012673918852012666	0.012679603594079726	0.013330952380952376	0.013367440476190488	0.012730248824578003	0.011822823677021399	0.012689583333333173	0.011571552607497603	0.01227	0.012682179487180098	0.012603402777777531	0.01131351066592777	0.008710526849037519	0.01279137057455947
774282	0.013640905822196113	0.013863333333333174	0.014364421991109705	0.014492040193180705	0.013833575384453624	0.014131738713721295	0.013673484378494454	0.013863333333333174	0.014308230284872447	0.01432586557970925	0.013379798152274558	0.014318714897678447	0.014361406674720014	0.015270721139971145	0.015323702380952332	0.014456043048098454	0.013206404333611197	0.014304621212121078	0.01416055136524485	0.01366	0.014407461538462398	0.01416423611111078	0.01415590159378294	0.013247375995668456	0.014471331807163318
894236	0.012650190869427752	0.012618333333333186	0.013356997094030218	0.013406599344221977	0.013305243794272703	0.01252398095079877	0.01289521454708788	0.012618333333333186	0.013295531138014998	0.013301124999999156	0.012635771002829102	0.01331715853957705	0.01331129454847371	0.013976199494949458	0.013977674242424269	0.013437640014188885	0.012493247474746751	0.013309999999999732	0.013276886198871123	0.012364583333333335	0.013352298076923926	0.013182986111110708	0.013369005149737774	0.013354989946158595	0.013364726569691907
1009085	0.012780051485395402	0.01280666666666652	0.013369345827192985	0.0134750328179898	0.012893671240618949	0.013403046797988568	0.012744763304465914	0.01280666666666652	0.013367747869045127	0.013358449999999134	0.012452125360861434	0.013441449051119802	0.013465537727774993	0.013729252525252525	0.01375252272727274	0.013616181894595345	0.012426524961760122	0.013558083333333054	0.012687540832767685	0.012227916666666668	0.013519583333334178	0.01335048611111075	0.012603463454170565	0.013247477142814773	0.013410922519799487
1117979	0.012591718284704482	0.012626666666666567	0.013281630904092796	0.013378287105405541	0.013204338418764894	0.012609095568003438	0.012786193494300458	0.012626666666666567	0.013274373656193323	0.013253258333332596	0.01238073073093337	0.013283080825066811	0.013265314482028586	0.014159222222222273	0.014053962121212108	0.013310348042871473	0.012543450638459516	0.013213825757575546	0.01295273836233262	0.012955	0.013326288461539205	0.013395555555555102	0.01292917753095866	0.013660434413976814	0.013357495773372302
