	AOcol_F	BFcol_F	BFcol_M	BFgam_F	BFgam_M	CIcol_F	CMgam_F	CMgam_M	FRgam_F	FRgam_M	GAgam_F	GHcol_F	GHgam_F	GM_F	GNcol_F	GNgam_F	GQgam_F	GW_F	KE_F	UGgam_F	An. coluzzii_F	An. coluzzii_M	An. gambiae_F	An. gambiae_M	Unknown_F
370283	0.0033510979564295466	0.0026843286178423677	0.0026633333333333314	0.004693397041779752	0.00465057499999997	0.0025881298537493375	0.004798807505090943	0.004821158601041538	0.004856893939393945	0.004844166666666682	0.004602245183927019	0.00245095253820253	0.0045566666666666845	0.00413855916883098	0.0026375	0.00476613141025636	0.004720138888888858	0.00347869232141139	0.0034417753623188422	0.004801018129584018	0.002814734040317066	0.0026633333333333314	0.004611066974186123	0.004771867818138735	0.003841439511358603
987032	0.003245486202394105	0.004326688092390915	0.0045083333333333486	0.004410820895522381	0.0043874000000000005	0.004047127099846244	0.00442457027732005	0.00451016120507394	0.004524166666666675	0.004545871212121214	0.0043198220375107	0.004015402483959062	0.004270833333333349	0.004195006403486805	0.00428625	0.0044516249999999495	0.004254999999999961	0.004037999694749663	0.0034463224900484926	0.00449064849752344	0.003895339902750733	0.0045083333333333486	0.004375755817721676	0.004477535671889906	0.003933870669881066
1432995	0.0031004280039975208	0.0031643094679187135	0.003256666666666674	0.0037261227951153383	0.003600474999999996	0.002891460793747978	0.0037042525565821934	0.0036343313953487314	0.0033893181818181917	0.0032807196969696956	0.0034872762148338457	0.0028217341337907283	0.003700833333333338	0.0034662006448413244	0.003117916666666667	0.0036381249999999318	0.003674444444444381	0.0033327723930251913	0.0028278324468085157	0.003431264076576536	0.003010189755481033	0.003256666666666674	0.0035867403849882515	0.003571412808642051	0.0032263912500956077
1728313	0.003948868446557386	0.003880062264781918	0.0038700000000000154	0.003453751939602654	0.00347136666666667	0.0036130251585014643	0.0033937525898663735	0.003405126724051108	0.0038145833333333343	0.0038266666666666787	0.0033646230527784424	0.0034952085021778094	0.0035142045454545547	0.0035791234928266714	0.003595	0.0034153974358973943	0.003347222222222189	0.0037452779323167004	0.002922412979957155	0.003443992161394668	0.0037540468786968675	0.0038700000000000154	0.0034542044762264157	0.0034880050451092668	0.0033587768236585493
1911851	0.004377754690046814	0.004104865023474294	0.004268333333333352	0.0042588093622794795	0.004219999999999987	0.003976268877544919	0.004359250111043399	0.004264659090909039	0.004945416666666672	0.004892083333333349	0.004160435848252413	0.0037685050505050117	0.004180000000000038	0.004488028063950039	0.004185416666666666	0.004225124999999945	0.004372777777777714	0.004732850330837561	0.0040053804347825964	0.004240640056452504	0.004094177155644842	0.004268333333333352	0.0043433139415834186	0.004343828703703767	0.004355443053153608
2049115	0.005189451845522926	0.004172508802816992	0.004821666666666685	0.00417380352336674	0.0041440333333333315	0.004153315211387691	0.004335758598770709	0.00431682095343674	0.004848916666666671	0.00483833333333335	0.00463839390006499	0.0037750286195285887	0.003940833333333345	0.004364892599280286	0.0034425	0.004163506578947334	0.004503333333333286	0.004526681359838641	0.0039043863770685575	0.004487449200011643	0.004370874566727395	0.004821666666666685	0.004389234962754433	0.004340772657126891	0.0042234758408897155
2174138	0.00462806121569282	0.004463104460094	0.004571666666666677	0.004654144394939588	0.004730241666666669	0.004384073026954456	0.004763113523808275	0.004776038583509459	0.004634583333333357	0.004980871212121246	0.004701044330775885	0.004115069800569767	0.004822500000000013	0.004702650068681449	0.0042475	0.004814307692307618	0.004603888888888829	0.004634727887245363	0.004100868794326229	0.004897346590909026	0.004423130051721821	0.004571666666666677	0.004751712584332718	0.0047922503125489326	0.004488311620846452
2326288	0.004606240323115316	0.0044767749322734765	0.00459750000000001	0.00419223428312978	0.004198199999999979	0.0046799058129681995	0.004187968795557793	0.00418426268498937	0.004420373737373739	0.004562272727272742	0.004065010656436578	0.0044989420938948725	0.004084166666666678	0.004627408234127072	0.00476	0.004243009615384545	0.004120555555555526	0.004658131198013241	0.0035176477862575717	0.004457120376080163	0.004578787987002706	0.00459750000000001	0.004282507941589714	0.004244563799031168	0.004192314697501728
2499452	0.004932157459041446	0.004701661554576667	0.00455750000000003	0.005554143113105805	0.0053313	0.004796141510118432	0.005514239284468571	0.005466025369978727	0.004928454545454555	0.005415833333333354	0.005277751730967568	0.004660038275840086	0.005414583333333362	0.0053183797852547204	0.0047325	0.005464291666666598	0.005609999999999966	0.0052850547154549045	0.004144592198581546	0.0056165816813216534	0.004794939154030434	0.00455750000000003	0.005477872258153651	0.005417001661918472	0.004859603454206952
2679877	0.006312509517509524	0.006152466695098284	0.006311666666666708	0.006215871112508515	0.006310869565217341	0.0057874740205942085	0.0060323094404426585	0.005928628435517877	0.006138108585858604	0.006032727272727278	0.005774066496163852	0.00544512289562282	0.00602886363636365	0.00674023883313163	0.00602375	0.0061535096153846	0.005903888888888815	0.006790866811247376	0.005264090052934514	0.006310691564952914	0.005974185700693995	0.006311666666666708	0.006158289620931281	0.006062024728172727	0.006221443057942844
